Year,City,Sport,Discipline,NOC,Event,Event gender,Medal,New_test_column
1924,Chamonix,Skating,Figure skating,AUT,individual,M,Silver,01/01/2026
1924,Chamonix,Skating,Figure skating,AUT,individual,W,Gold,01/02/2026
1924,Chamonix,Skating,Figure skating,AUT,pairs,X,Gold,01/03/2026
1924,Chamonix,Bobsleigh,Bobsleigh,BEL,four-man,M,Bronze,01/04/2026
1924,Chamonix,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold,01/05/2026
1924,Chamonix,Biathlon,Biathlon,FIN,military patrol,M,Silver,01/06/2026
1924,Chamonix,Skating,Figure skating,FIN,pairs,X,Silver,01/07/2026
1924,Chamonix,Skating,Speed skating,FIN,10000m,M,Gold,01/08/2026
1924,Chamonix,Skating,Speed skating,FIN,10000m,M,Silver,01/09/2026
1924,Chamonix,Skating,Speed skating,FIN,1500m,M,Gold,01/10/2026
1924,Chamonix,Skating,Speed skating,FIN,5000m,M,Gold,01/11/2026
1924,Chamonix,Skating,Speed skating,FIN,5000m,M,Silver,01/12/2026
1924,Chamonix,Skating,Speed skating,FIN,500m,M,Bronze,01/01/2027
1924,Chamonix,Skating,Speed skating,FIN,combined (4 events),M,Bronze,01/02/2027
1924,Chamonix,Skating,Speed skating,FIN,combined (4 events),M,Gold,01/03/2027
1924,Chamonix,Skiing,Cross Country S,FIN,18km,M,Bronze,01/04/2027
1924,Chamonix,Biathlon,Biathlon,FRA,military patrol,M,Bronze,01/05/2027
1924,Chamonix,Curling,Curling,FRA,curling,M,Bronze,01/06/2027
1924,Chamonix,Skating,Figure skating,FRA,pairs,X,Bronze,01/07/2027
1924,Chamonix,Bobsleigh,Bobsleigh,GBR,four-man,M,Silver,01/08/2027
1924,Chamonix,Curling,Curling,GBR,curling,M,Gold,01/09/2027
1924,Chamonix,Ice Hockey,Ice Hockey,GBR,ice hockey,M,Bronze,01/10/2027
1924,Chamonix,Skating,Figure skating,GBR,individual,W,Bronze,01/11/2027
1924,Chamonix,Skating,Speed skating,NOR,10000m,M,Bronze,01/12/2027
1924,Chamonix,Skating,Speed skating,NOR,1500m,M,Bronze,01/01/2028
1924,Chamonix,Skating,Speed skating,NOR,1500m,M,Silver,01/02/2028
1924,Chamonix,Skating,Speed skating,NOR,5000m,M,Bronze,01/03/2028
1924,Chamonix,Skating,Speed skating,NOR,500m,M,Bronze,01/04/2028
1924,Chamonix,Skating,Speed skating,NOR,500m,M,Silver,01/05/2028
1924,Chamonix,Skating,Speed skating,NOR,combined (4 events),M,Silver,01/06/2028
1924,Chamonix,Skiing,Cross Country S,NOR,18km,M,Gold,01/07/2028
1924,Chamonix,Skiing,Cross Country S,NOR,18km,M,Silver,01/08/2028
1924,Chamonix,Skiing,Cross Country S,NOR,50km,M,Bronze,01/09/2028
1924,Chamonix,Skiing,Cross Country S,NOR,50km,M,Gold,01/10/2028
1924,Chamonix,Skiing,Cross Country S,NOR,50km,M,Silver,01/11/2028
1924,Chamonix,Skiing,Nordic Combined,NOR,individual,M,Bronze,01/12/2028
1924,Chamonix,Skiing,Nordic Combined,NOR,individual,M,Gold,01/01/2029
1924,Chamonix,Skiing,Nordic Combined,NOR,individual,M,Silver,01/02/2029
1924,Chamonix,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold,01/03/2029
1924,Chamonix,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver,01/04/2029
1924,Chamonix,Biathlon,Biathlon,SUI,military patrol,M,Gold,01/05/2029
1924,Chamonix,Bobsleigh,Bobsleigh,SUI,four-man,M,Gold,01/06/2029
1924,Chamonix,Skating,Figure skating,SUI,individual,M,Bronze,01/07/2029
1924,Chamonix,Curling,Curling,SWE,curling,M,Silver,01/08/2029
1924,Chamonix,Skating,Figure skating,SWE,individual,M,Gold,01/09/2029
1924,Chamonix,Ice Hockey,Ice Hockey,USA,ice hockey,M,Silver,01/10/2029
1924,Chamonix,Skating,Figure skating,USA,individual,W,Silver,01/11/2029
1924,Chamonix,Skating,Speed skating,USA,500m,M,Gold,01/12/2029
1924,Chamonix,Skiing,Ski Jumping,USA,K90 individual (70m),M,Bronze,01/01/2030
1928,St. Moritz,Skating,Figure skating,AUT,individual,M,Silver,01/02/2030
1928,St. Moritz,Skating,Figure skating,AUT,individual,W,Silver,01/03/2030
1928,St. Moritz,Skating,Figure skating,AUT,pairs,X,Bronze,01/04/2030
1928,St. Moritz,Skating,Figure skating,AUT,pairs,X,Silver,01/05/2030
1928,St. Moritz,Skating,Figure skating,BEL,individual,M,Bronze,01/06/2030
1928,St. Moritz,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold,01/07/2030
1928,St. Moritz,Skating,Speed skating,FIN,1500m,M,Gold,01/08/2030
1928,St. Moritz,Skating,Speed skating,FIN,5000m,M,Silver,01/09/2030
1928,St. Moritz,Skating,Speed skating,FIN,500m,M,Bronze,01/10/2030
1928,St. Moritz,Skating,Speed skating,FIN,500m,M,Gold,01/11/2030
1928,St. Moritz,Skating,Figure skating,FRA,pairs,X,Gold,01/12/2030
1928,St. Moritz,Bobsleigh,Skeleton,GBR,individual,M,Bronze,01/01/2031
1928,St. Moritz,Bobsleigh,Bobsleigh,GER,five-man,M,Bronze,01/02/2031
1928,St. Moritz,Skating,Figure skating,NOR,individual,W,Gold,01/03/2031
1928,St. Moritz,Skating,Speed skating,NOR,1500m,M,Bronze,01/04/2031
1928,St. Moritz,Skating,Speed skating,NOR,1500m,M,Silver,01/05/2031
1928,St. Moritz,Skating,Speed skating,NOR,5000m,M,Bronze,01/06/2031
1928,St. Moritz,Skating,Speed skating,NOR,5000m,M,Gold,01/07/2031
1928,St. Moritz,Skating,Speed skating,NOR,500m,M,Bronze,01/08/2031
1928,St. Moritz,Skating,Speed skating,NOR,500m,M,Gold,01/09/2031
1928,St. Moritz,Skiing,Cross Country S,NOR,18km,M,Bronze,01/10/2031
1928,St. Moritz,Skiing,Cross Country S,NOR,18km,M,Gold,01/11/2031
1928,St. Moritz,Skiing,Cross Country S,NOR,18km,M,Silver,01/12/2031
1928,St. Moritz,Skiing,Nordic Combined,NOR,individual,M,Bronze,01/01/2032
1928,St. Moritz,Skiing,Nordic Combined,NOR,individual,M,Gold,01/02/2032
1928,St. Moritz,Skiing,Nordic Combined,NOR,individual,M,Silver,01/03/2032
1928,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold,01/04/2032
1928,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver,01/05/2032
1928,St. Moritz,Ice Hockey,Ice Hockey,SUI,ice hockey,M,Bronze,01/06/2032
1928,St. Moritz,Ice Hockey,Ice Hockey,SWE,ice hockey,M,Silver,01/07/2032
1928,St. Moritz,Skating,Figure skating,SWE,individual,M,Gold,01/08/2032
1928,St. Moritz,Skiing,Cross Country S,SWE,50km,M,Bronze,01/09/2032
1928,St. Moritz,Skiing,Cross Country S,SWE,50km,M,Gold,01/10/2032
1928,St. Moritz,Skiing,Cross Country S,SWE,50km,M,Silver,01/11/2032
1928,St. Moritz,Skiing,Ski Jumping,TCH,K90 individual (70m),M,Bronze,01/12/2032
1928,St. Moritz,Bobsleigh,Bobsleigh,USA,five-man,M,Gold,01/01/2033
1928,St. Moritz,Bobsleigh,Bobsleigh,USA,five-man,M,Silver,01/02/2033
1928,St. Moritz,Bobsleigh,Skeleton,USA,individual,M,Gold,01/03/2033
1928,St. Moritz,Bobsleigh,Skeleton,USA,individual,M,Silver,01/04/2033
1928,St. Moritz,Skating,Figure skating,USA,individual,W,Bronze,01/05/2033
1928,St. Moritz,Skating,Speed skating,USA,500m,M,Bronze,01/06/2033
1932,Lake Placid,Skating,Figure skating,AUT,individual,M,Gold,01/07/2033
1932,Lake Placid,Skating,Figure skating,AUT,individual,W,Silver,01/08/2033
1932,Lake Placid,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold,01/09/2033
1932,Lake Placid,Skating,Figure skating,CAN,individual,M,Bronze,01/10/2033
1932,Lake Placid,Skating,Speed skating,CAN,10000m,M,Bronze,01/11/2033
1932,Lake Placid,Skating,Speed skating,CAN,1500m,M,Bronze,01/12/2033
1932,Lake Placid,Skating,Speed skating,CAN,1500m,M,Silver,01/01/2034
1932,Lake Placid,Skating,Speed skating,CAN,5000m,M,Bronze,01/02/2034
1932,Lake Placid,Skating,Speed skating,CAN,500m,M,Bronze,01/03/2034
1932,Lake Placid,Skiing,Cross Country S,FIN,18km,M,Bronze,01/04/2034
1932,Lake Placid,Skiing,Cross Country S,FIN,50km,M,Gold,01/05/2034
1932,Lake Placid,Skiing,Cross Country S,FIN,50km,M,Silver,01/06/2034
1932,Lake Placid,Skating,Figure skating,FRA,pairs,X,Gold,01/07/2034
1932,Lake Placid,Bobsleigh,Bobsleigh,GER,four-man,M,Bronze,01/08/2034
1932,Lake Placid,Ice Hockey,Ice Hockey,GER,ice hockey,M,Bronze,01/09/2034
1932,Lake Placid,Skating,Figure skating,HUN,pairs,X,Bronze,01/10/2034
1932,Lake Placid,Skating,Figure skating,NOR,individual,W,Gold,01/11/2034
1932,Lake Placid,Skating,Speed skating,NOR,10000m,M,Silver,01/12/2034
1932,Lake Placid,Skating,Speed skating,NOR,500m,M,Silver,01/01/2035
